id;object_id;first_name;last_name;birthplace;affiliation_name
171;p_193;Vincent;Paquet;UNDEFINED;GrandCentral
172;p_194;Don;Fletcher;UNDEFINED;GrandCentral
173;p_195;Paul;Graham;UNDEFINED;YCombinator
174;p_196;Trevor;Blackwell;UNDEFINED;Y Combinator
175;p_197;Jessica;Livingston;UNDEFINED;YCombinator
176;p_198;Robert;Morris;UNDEFINED;Y Combinator
177;p_199;Fred;Wagner;UNDEFINED;Ikan
178;p_200;Fabio;Zsigmond;UNDEFINED;Ikan
179;p_201;Geraldo;Yoshizawa;UNDEFINED;Ikan
180;p_202;Todd;Vernon;UNDEFINED;Lijit Networks
181;p_203;Joshua;Schachter;UNDEFINED;geoURL
182;p_204;Stan;James;UNDEFINED;Lijit
183;p_205;Brad;Feld;UNDEFINED;Occipital
184;p_206;Amir;Ashkenazi;UNDEFINED;Adap.tv
185;p_207;Rich;Skrenta;Pittsburgh, PA;Topix
186;p_209;Steve;Rubinstein;UNDEFINED;Topix
187;p_210;Chris;Tolles;Palo Alto CA;Topix
188;p_212;Blake;Williams;UNDEFINED;AOL
189;p_213;Jason;Goldberg;UNDEFINED;Jobster
190;p_214;Phil;Bogle;UNDEFINED;Jobster
191;p_215;David;Eckert;UNDEFINED;Jobster
192;p_216;Kevin;Hatfield;UNDEFINED;Jobster
193;p_217;Jessica;Scheibach;UNDEFINED;Jobster
194;p_218;Russell;Williams;UNDEFINED;Jobster
195;p_219;Leah;Culver;UNDEFINED;OAuth
196;p_220;Daniel;Burka;UNDEFINED;Tiny Speck
197;p_221;Shawn;Allen;UNDEFINED;Pownce
198;p_222;David;Huard;UNDEFINED;revision3
199;p_223;David;Prager;UNDEFINED;Revision3
200;p_224;Cedric;Maloux;Paris, France;Geewa
